[32m[28-0937-2025 08:37:11:3711] info: 	Connected to MSsql server successfully[39m
[32m[28-0937-2025 08:37:11:3711] info: 	Executing (default): SELECT 1+1 AS result[39m
[32m[28-0937-2025 08:37:11:3711] info: 	Executing (default): SELECT TABLE_NAME, TABLE_SCHEMA FROM INFORMATION_SCHEMA.TABLES WHERE TABLE_TYPE = 'BASE TABLE' AND TABLE_NAME = N'users' AND TABLE_SCHEMA = N'dbo'[39m
[32m[28-0937-2025 08:37:11:3711] info: 	Executing (default): IF OBJECT_ID('[users]', 'U') IS NULL CREATE TABLE [users] ([id] CHAR(36) NOT NULL , [username] NVARCHAR(255) NOT NULL, [email] NVARCHAR(255) NOT NULL, [password] NVARCHAR(255) NULL, [role] VARCHAR(255) CHECK ([role] IN(N'admin', N'user')), [refresh_token] NVARCHAR(255) NULL, [avatar_url] NVARCHAR(255) NULL, [avatar_id] NVARCHAR(255) NULL, [verification_secret] NVARCHAR(255) NULL, [is_MFA_enabled] BIT DEFAULT 0, [createdAt] DATETIMEOFFSET NOT NULL, [updatedAt] DATETIMEOFFSET NOT NULL, PRIMARY KEY ([id]));[39m
[32m[28-0937-2025 08:37:11:3711] info: 	Executing (default): EXEC sys.sp_helpindex @objname = N'[users]';[39m
[32m[28-0937-2025 08:37:12:3712] info: 	Executing (default): CREATE UNIQUE INDEX [users_email_username] ON [users] ([email], [username])[39m
[32m[28-0937-2025 08:37:12:3712] info: 	All models synchronized with database successfully[39m
[32m[28-0937-2025 08:37:12:3712] info: 	🚀 Server running at http://localhost:undefined...🚀[39m
[32m[28-0912-2025 11:12:00:120] info: 	Connected to MSsql server successfully[39m
[32m[28-0912-2025 11:12:00:120] info: 	Executing (default): SELECT 1+1 AS result[39m
[32m[28-0912-2025 11:12:00:120] info: 	Executing (default): SELECT TABLE_NAME, TABLE_SCHEMA FROM INFORMATION_SCHEMA.TABLES WHERE TABLE_TYPE = 'BASE TABLE' AND TABLE_NAME = N'users' AND TABLE_SCHEMA = N'dbo'[39m
[32m[28-0912-2025 11:12:01:121] info: 	Executing (default): SELECT c.COLUMN_NAME AS 'Name', c.DATA_TYPE AS 'Type', c.CHARACTER_MAXIMUM_LENGTH AS 'Length', c.IS_NULLABLE as 'IsNull', COLUMN_DEFAULT AS 'Default', pk.CONSTRAINT_TYPE AS 'Constraint', COLUMNPROPERTY(OBJECT_ID('[' + c.TABLE_SCHEMA + '].[' + c.TABLE_NAME + ']'), c.COLUMN_NAME, 'IsIdentity') as 'IsIdentity', CAST(prop.value AS NVARCHAR) AS 'Comment' FROM INFORMATION_SCHEMA.TABLES t INNER JOIN INFORMATION_SCHEMA.COLUMNS c ON t.TABLE_NAME = c.TABLE_NAME AND t.TABLE_SCHEMA = c.TABLE_SCHEMA LEFT JOIN (SELECT tc.table_schema, tc.table_name,  cu.column_name, tc.CONSTRAINT_TYPE  FROM INFORMATION_SCHEMA.TABLE_CONSTRAINTS tc  JOIN INFORMATION_SCHEMA.KEY_COLUMN_USAGE  cu  ON tc.table_schema=cu.table_schema and tc.table_name=cu.table_name  and tc.constraint_name=cu.constraint_name  and tc.CONSTRAINT_TYPE='PRIMARY KEY') pk  ON pk.table_schema=c.table_schema  AND pk.table_name=c.table_name  AND pk.column_name=c.column_name  INNER JOIN sys.columns AS sc ON sc.object_id = OBJECT_ID('[' + t.TABLE_SCHEMA + '].[' + t.TABLE_NAME + ']') AND sc.name = c.column_name LEFT JOIN sys.extended_properties prop ON prop.major_id = sc.object_id AND prop.minor_id = sc.column_id AND prop.name = 'MS_Description' WHERE t.TABLE_NAME = 'users'[39m
[32m[28-0912-2025 11:12:01:121] info: 	Executing (default): SELECT constraint_name = OBJ.NAME, constraintName = OBJ.NAME, constraintCatalog = 'Airwave-airtime-app-development', constraintSchema = SCHEMA_NAME(OBJ.SCHEMA_ID), tableName = TB.NAME, tableSchema = SCHEMA_NAME(TB.SCHEMA_ID), tableCatalog = 'Airwave-airtime-app-development', columnName = COL.NAME, referencedTableSchema = SCHEMA_NAME(RTB.SCHEMA_ID), referencedCatalog = 'Airwave-airtime-app-development', referencedTableName = RTB.NAME, referencedColumnName = RCOL.NAME FROM sys.foreign_key_columns FKC INNER JOIN sys.objects OBJ ON OBJ.OBJECT_ID = FKC.CONSTRAINT_OBJECT_ID INNER JOIN sys.tables TB ON TB.OBJECT_ID = FKC.PARENT_OBJECT_ID INNER JOIN sys.columns COL ON COL.COLUMN_ID = PARENT_COLUMN_ID AND COL.OBJECT_ID = TB.OBJECT_ID INNER JOIN sys.tables RTB ON RTB.OBJECT_ID = FKC.REFERENCED_OBJECT_ID INNER JOIN sys.columns RCOL ON RCOL.COLUMN_ID = REFERENCED_COLUMN_ID AND RCOL.OBJECT_ID = RTB.OBJECT_ID WHERE TB.NAME ='users'[39m
[32m[28-0912-2025 11:12:02:122] info: 	Executing (default): ALTER TABLE [users] ALTER COLUMN [username] NVARCHAR(255) NOT NULL;[39m
[32m[28-0912-2025 11:12:02:122] info: 	Executing (default): ALTER TABLE [users] ALTER COLUMN [email] NVARCHAR(255) NOT NULL;[39m
[32m[28-0912-2025 11:12:02:122] info: 	Executing (default): ALTER TABLE [users] ALTER COLUMN [password] NVARCHAR(255) NULL;[39m
[32m[28-0912-2025 11:12:02:122] info: 	Executing (default): ALTER TABLE [users] ALTER COLUMN [role] VARCHAR(255) CHECK ([role] IN(N'admin', N'user'));[39m
[31m[28-0912-2025 11:12:02:122] error: 	Faiked to synchronized all models with database SequelizeDatabaseError: Incorrect syntax near the keyword 'CHECK'.[39m
